분류,코드값,상세설명
직업,1,관리자
직업,2,전문가 및 관련 종사자
직업,3,사무 종사자
직업,4,서비스 종사자
직업,5,판매 종사자
직업,6,농림·어업 숙련 종사자
직업,7,기능원 및 관련 기능 종사자
직업,8,장치·기계 조작 및 조립 종사자
직업,9,단순노무 종사자
직업,A,군인
직업,42,돌봄·보건 및 개인 생활 서비스직
직업,27,경영·금융전문가 및 관련직
직업,28,문화·예술·스포츠 전문가 및 관련직
직업,31,경영 및 회계 관련 사무직
직업,32,금융 사무직
직업,33,법률 및 감사 사무직
직업,39,상담·안내·통계 및 기타 사무직
직업,41,경찰·소방 및 보안 관련 서비스직
직업,43,운송 및 여가 서비스직
직업,44,조리 및 음식 서비스직
직업,51,영업직
직업,52,매장 판매 및 상품 대여직
직업,53,통신 및 방문·노점 판매 관련직
직업,61,농·축산 숙련직
직업,62,임업 숙련직
직업,63,어업 숙련직
직업,71,식품가공 관련 기능직
직업,72,섬유·의복 및 가죽 관련 기능직
직업,73,목재·가구·악기 및 간판 관련 기능직
직업,74,금속 성형 관련 기능직
직업,75,운송 및 기계 관련 기능직
직업,76,전기 및 전자 관련 기능직
직업,77,정보 통신 및 방송장비 관련 기능직
직업,78,건설 및 채굴 관련 기능직
직업,79,기타 기능 관련직
직업,81,식품가공 관련 기계 조작직
직업,82,섬유 및 신발 관련 기계 조작직
직업,83,화학 관련 기계 조작직
직업,84,금속 및 비금속 관련 기계 조작직
직업,85,기계 제조 및 관련 기계 조작직
직업,86,전기 및 전자 관련 기계 조작직
직업,87,운전 및 운송 관련직
직업,88,상하수도 및 재활용 처리 관련 기계 조작직
직업,89,목재·인쇄 및 기타 기계 조작직
직업,91,건설 및 광업 관련 단순 노무직
직업,92,운송 관련 단순 노무직
직업,93,제조 관련 단순 노무직
직업,94,청소 및 경비 관련 단순 노무직
직업,95,가사·음식 및 판매 관련 단순 노무직
직업,99,농림·어업 및 기타 서비스 단순 노무직
직업,A0,군인
직업,11,공공 기관 및 기업 고위직
직업,12,행정·경영 지원 및 마케팅 관리직
직업,13,전문 서비스 관리직
직업,14,건설·전기 및 생산 관련 관리직
직업,15,판매 및 고객 서비스 관리직
직업,21,과학 전문가 및 관련직
직업,22,정보 통신 전문가 및 기술직
직업,23,공학 전문가 및 기술직
직업,24,보건·사회복지 및 종교 관련직
직업,25,교육 전문가 및 관련직
직업,26,법률 및 행정 전문직
직업,287,식문화 관련 전문가
직업,421,돌봄 및 보건 서비스 종사자
직업,286,스포츠 및 레크리에이션 관련 전문가
직업,823,세탁 관련 기계 조작원
직업,831,석유 및 화학물 가공 장치 조작원
직업,832,화학·고무 및 플라스틱 제품 생산기 조작원
직업,841,주조 및 금속가공 관련 기계 조작원
직업,842,도장 및 도금기 조작원
직업,843,비금속제품 생산기 조작원
직업,851,금속 공작 기계 조작원
직업,852,냉난방 관련 설비 조작원
직업,853,자동 조립라인 및 산업용로봇 조작원
직업,854,운송차량 및 기계 관련 조립원
직업,855,금속기계 부품 조립원
직업,861,발전 및 배전장치 조작원
직업,862,전기 및 전자설비 조작원
직업,863,전기·전자 부품 및 제품 제조 장치 조작원
직업,864,전기·전자 부품 및 제품 조립원
직업,871,철도 및 전동차 기관사
직업,872,철도운송 관련 종사자
직업,873,자동차 운전원
직업,874,물품 이동 장비 조작원
직업,875,건설 및 채굴기계 운전원
직업,876,선박 승무원 및 관련 종사자
직업,881,상하수도 처리 장치 조작원
직업,882,재활용 처리 및 소각로 조작원
직업,891,목재 및 종이 관련 기계 조작원
직업,892,인쇄 및 사진 현상 관련 기계 조작원
직업,899,기타 기계 조작원
직업,910,건설 및 광업 단순 종사자
직업,921,하역 및 적재 단순 종사자
직업,922,배달원
직업,930,제조 관련 단순 종사자
직업,941,청소원 및 환경미화원
직업,942,건물 관리원 및 검표원
직업,951,가사 및 육아 도우미
직업,952,음식 관련 단순 종사자
직업,953,판매 관련 단순 종사자
직업,991,농림·어업 관련 단순 종사자
직업,992,계기·자판기 및 주차 관리 종사자
직업,999,기타 서비스 관련 단순 종사자
직업,A01,장교
직업,A02,부사관
직업,111,의회 의원·고위 공무원 및 공공단체 임원
직업,112,기업 고위 임원
직업,121,행정 및 경영 지원 관리자
직업,122,마케팅 및 광고·홍보 관리자
직업,131,연구·교육 및 법률 관련 관리자
직업,132,보험 및 금융 관리자
직업,133,보건 및 사회복지 관련 관리자
직업,134,문화·예술 관련 관리자
직업,135,정보 통신 관련 관리자
직업,139,기타 전문 서비스 관리자
직업,141,건설·전기 및 생산 관련 관리자
직업,149,기타 건설·전기 및 생산 관련 관리자
직업,151,판매 및 운송 관리자
직업,152,고객 서비스 관리자
직업,153,환경·청소 및 경비 관련 관리자
직업,159,기타 판매 및 고객 서비스 관리자
직업,211,생명 및 자연과학 관련 전문가
직업,212,인문 및 사회과학 전문가
직업,213,생명 및 자연과학 관련 시험원
직업,A09,기타 군인
직업,422,미용 관련 서비스 종사자
직업,423,혼례 및 장례 종사자
직업,429,기타 돌봄·보건 및 개인 생활 서비스 종사자
직업,431,운송 서비스 종사자
직업,432,여가 서비스 종사자
직업,441,조리사
직업,442,식음료 서비스 종사자
직업,510,영업 종사자
직업,521,매장 판매 종사자
직업,522,상품 대여 종사자
직업,531,통신 관련 판매직
직업,532,방문 및 노점 판매 관련직
직업,611,작물 재배 종사자
직업,612,원예 및 조경 종사자
직업,613,축산 및 사육 관련 종사자
직업,620,임업 관련 종사자
직업,630,어업 관련 종사자
직업,710,식품가공 관련 기능 종사자
직업,721,섬유 및 가죽 관련 기능 종사자
직업,722,의복 제조 관련 기능 종사자
직업,730,목재·가구·악기 및 간판 관련 기능 종사자
직업,741,금형·주조 및 단조원
직업,742,제관원 및 판금원
직업,743,용접원
직업,751,자동차 정비원
직업,752,운송장비 정비원
직업,753,기계장비 설치 및 정비원
